speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
JK,41,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Waescheklammer,orange,Bueroklammer,rot,suglasses,yellow,53.75247524752475,23.211379080353698,56
JK,42,ANF,NA,Mandarine,orange,Bohnen,gruen,Zucchini,rot,Bueroklammer,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
JK,43,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Waescheklammer,orange,Bueroklammer,gruen,cherry,yellow,1.386138613861386,3.9848972308698327,0
JK,44,ANF,NA,Banane,braun,Mandarine,orange,Waescheklammer,gruen,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
JK,45,AF,NA,Socken,gruen,Socken,orange,Zucchini,gelb,Zucchini,rot,socks,green,58.504950495049506,27.195817238088743,63
JK,46,ANF,NA,Kartoffeln,orange,Erbsen,gelb,Bueroklammer,rot,Bueroklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JK,47,NF,medium,Tomate,gruen,Socken,gruen,Aubergine,rot,Bueroklammer,rot,tomato,green,25.99009900990099,28.510522636214493,18
JK,48,ANF,NA,Zitrone,gelb,Aprikose,rot,Socken,orange,Aubergine,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
JK,49,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Zucchini,rot,Waescheklammer,gruen,potatoes,orange,38.851485148514854,33.05370966733201,31
JK,50,AF,NA,Paprika,braun,Paprika,rot,Sonnenbrille,gelb,Aubergine,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
JK,51,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Sonnenbrille,orange,Zucchini,rot,peas,yellow,34.57425742574257,33.063377484659206,27
JK,52,NF,typical,Walnuss,braun,Bueroklammer,braun,Waescheklammer,rot,Socken,rot,walnut,brown,97.45544554455445,11.250355329922026,100
JK,53,AF,NA,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Aubergine,rot,carrots,green,3.99009900990099,13.916533368267366,0
JK,54,NF,medium,Aprikose,rot,Waescheklammer,rot,Socken,orange,Sonnenbrille,gelb,apricot,red,33.148514851485146,32.654061351878994,25
JK,55,ANF,NA,Aprikose,rot,Kartoffeln,orange,Sonnenbrille,gelb,Socken,gelb,apricot,red,33.148514851485146,32.654061351878994,25
JK,56,NF,atypical,Paprika,braun,Waescheklammer,braun,Birne,gruen,Socken,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
JK,57,ANF,NA,Tomate,gruen,Zitrone,gelb,Sonnenbrille,orange,Zucchini,rot,tomato,green,25.99009900990099,28.510522636214493,18
JK,58,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Socken,orange,Sonnenbrille,orange,paper.clip,red,58.82178217821782,28.540285926950332,62
JK,59,ANF,NA,Walnuss,braun,Tomate,gruen,Zucchini,gelb,Waescheklammer,orange,walnut,brown,97.45544554455445,11.250355329922026,100
JK,60,NF,typical,Bohnen,gruen,Sonnenbrille,gruen,Zucchini,gelb,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
JK,61,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Zucchini,rot,Bueroklammer,gruen,clothes.peg,orange,65.55445544554455,25.69999036868487,67
JK,62,ANF,NA,Erbsen,gelb,Erdbeere,rot,Bueroklammer,gruen,Waescheklammer,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
JK,63,ANF,NA,Bohnen,gruen,Banane,braun,Waescheklammer,orange,Sonnenbrille,orange,beans,green,96.81188118811882,7.065002294815097,100
JK,64,AF,NA,Trauben,orange,Trauben,gelb,Bueroklammer,gruen,Waescheklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JK,65,NF,medium,Banane,braun,Sonnenbrille,braun,Waescheklammer,gruen,Zucchini,gelb,banana,brown,27.643564356435643,28.333225781197537,22
JK,66,NF,atypical,Trauben,orange,Socken,orange,Avokado,rot,Birne,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
JK,67,AF,NA,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,orange,Waescheklammer,orange,cherry,yellow,1.386138613861386,3.9848972308698327,0
JK,68,NF,typical,Erdbeere,rot,Socken,rot,Sonnenbrille,gelb,Aubergine,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
JK,69,ANF,NA,Erdbeere,rot,Walnuss,braun,Aubergine,gruen,Socken,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
JK,70,NF,typical,Mandarine,orange,Waescheklammer,orange,Bueroklammer,rot,Aubergine,rot,mandarine,orange,98.70297029702971,4.731901424280615,100
