speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
CT,42,NF,atypical,Kirsche,gelb,Socken,gelb,Bueroklammer,gruen,Zucchini,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CT,43,ANF,NA,Aprikose,rot,Walnuss,braun,Avokado,gelb,Waescheklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
CT,44,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Zucchini,gruen,Socken,gelb,paper.clip,red,58.82178217821782,28.540285926950332,62
CT,45,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Waescheklammer,orange,Avokado,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
CT,46,NF,medium,Kartoffeln,orange,Waescheklammer,orange,Aubergine,rot,Socken,gelb,potatoes,orange,38.851485148514854,33.05370966733201,31
CT,47,AF,NA,Gurke,rot,Gurke,braun,Socken,gelb,Zucchini,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
CT,48,NF,typical,Walnuss,braun,Waescheklammer,braun,Socken,gelb,Bueroklammer,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CT,49,ANF,NA,Walnuss,braun,Bohnen,gruen,Zucchini,gelb,Aubergine,rot,walnut,brown,97.45544554455445,11.250355329922026,100
CT,50,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Waescheklammer,braun,Waescheklammer,orange,beans,green,96.81188118811882,7.065002294815097,100
CT,51,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,gelb,Zucchini,gelb,strawberry,red,99.35643564356435,2.7150843759111485,100
CT,52,ANF,NA,Mandarine,orange,Banane,braun,Socken,gruen,Zucchini,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
CT,53,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Zucchini,braun,Socken,gruen,suglasses,yellow,53.75247524752475,23.211379080353698,56
CT,54,ANF,NA,Banane,braun,Kartoffeln,orange,Bueroklammer,rot,Socken,gelb,banana,brown,27.643564356435643,28.333225781197537,22
CT,55,NF,atypical,Gurke,rot,Bueroklammer,rot,Waescheklammer,orange,Avokado,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
CT,56,ANF,NA,Erdbeere,rot,Mandarine,orange,Socken,gelb,Zucchini,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
CT,57,ANF,NA,Bohnen,gruen,Zitrone,gelb,Aubergine,rot,Bueroklammer,rot,beans,green,96.81188118811882,7.065002294815097,100
CT,58,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Bueroklammer,rot,Aubergine,rot,peas,yellow,34.57425742574257,33.063377484659206,27
CT,59,NF,medium,Tomate,gruen,Socken,gruen,Aubergine,gelb,Sonnenbrille,rot,tomato,green,25.99009900990099,28.510522636214493,18
CT,60,ANF,NA,Tomate,gruen,Erbsen,gelb,Zucchini,braun,Zucchini,rot,tomato,green,25.99009900990099,28.510522636214493,18
CT,61,AF,NA,Paprika,braun,Paprika,rot,Avokado,gelb,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
CT,62,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Zucchini,rot,Bueroklammer,gelb,carrots,green,3.99009900990099,13.916533368267366,0
CT,63,AF,NA,Socken,gruen,Socken,orange,Aubergine,rot,Zucchini,braun,socks,green,58.504950495049506,27.195817238088743,63
CT,64,NF,typical,Zitrone,gelb,Sonnenbrille,gelb,Zucchini,braun,Socken,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
CT,65,AF,NA,Kirsche,gelb,Kirsche,gruen,Waescheklammer,braun,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
CT,66,NF,atypical,Trauben,orange,Socken,orange,Avokado,gelb,Waescheklammer,braun,grapes,orange,5.871287128712871,14.374048397258605,0
CT,67,ANF,NA,Zitrone,gelb,Erdbeere,rot,Zucchini,gruen,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
CT,68,AF,NA,Moehre,gruen,Moehre,orange,Bueroklammer,rot,Waescheklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
CT,69,NF,medium,Banane,braun,Sonnenbrille,braun,Socken,gruen,Zucchini,gruen,banana,brown,27.643564356435643,28.333225781197537,22
CT,70,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Bueroklammer,gruen,Zucchini,rot,clothes.peg,orange,65.55445544554455,25.69999036868487,67
