speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour
JW,54,AF,NA,Socken,gruen,Socken,orange,Aubergine,rot,Sonnenbrille,braun
JW,55,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Avokado,gruen,Sonnenbrille,gruen
JW,56,ANF,typical,Zitrone,gelb,Tomate,gruen,Bueroklammer,orange,Waescheklammer,orange
JW,57,NF,typical,Walnuss,braun,Bueroklammer,braun,Sonnenbrille,gruen,Aubergine,rot
JW,58,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Avokado,gruen,Waescheklammer,orange
JW,59,ANF,typical,Walnuss,braun,Tomate,gruen,Waescheklammer,orange,Socken,rot
JW,60,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Birne,orange,Waescheklammer,gruen
JW,61,NF,atypical,Paprika,braun,Sonnenbrille,braun,Bueroklammer,orange,Avokado,gruen
JW,62,AF,atypical,Moehre,gruen,Moehre,orange,Avokado,gelb,Bueroklammer,rot
JW,63,NF,medium,Aprikose,rot,Socken,rot,Bueroklammer,gruen,Aubergine,gruen
JW,64,ANF,typical,Erdbeere,rot,Kartoffeln,orange,Aubergine,gruen,Bueroklammer,gruen
JW,65,AF,atypical,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,braun
JW,66,NF,atypical,Gurke,rot,Waescheklammer,rot,Socken,braun,Bueroklammer,orange
JW,67,ANF,medium,Banane,braun,Mandarine,orange,Sonnenbrille,gruen,Bueroklammer,rot
JW,68,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Socken,braun,Bueroklammer,orange
JW,69,NF,medium,Banane,braun,Waescheklammer,braun,Bueroklammer,rot,Avokado,gelb
JW,70,NF,typical,Bohnen,gruen,Socken,gruen,Bueroklammer,gelb,Aubergine,gelb
