speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
MZ,40,AF,atypical,Kirsche,gelb,Kirsche,gruen,Sonnenbrille,rot,Waescheklammer,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,41,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Sonnenbrille,rot,Waescheklammer,braun,potatoes,orange,38.851485148514854,33.05370966733201,31
MZ,42,ANF,typical,Walnuss,braun,Erdbeere,rot,Waescheklammer,gelb,Bueroklammer,gelb,walnut,brown,97.45544554455445,11.250355329922026,100
MZ,43,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Avokado,rot,Bueroklammer,orange,peas,yellow,34.57425742574257,33.063377484659206,27
MZ,44,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,gruen,Sonnenbrille,rot,grapes,orange,5.871287128712871,14.374048397258605,0
MZ,45,ANF,typical,Mandarine,orange,Aprikose,rot,Zucchini,braun,Socken,gruen,mandarine,orange,98.70297029702971,4.731901424280615,100
MZ,46,NF,atypical,Gurke,rot,Socken,rot,Zucchini,braun,Bueroklammer,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
MZ,47,ANF,medium,Aprikose,rot,Zitrone,gelb,Socken,gruen,Bueroklammer,braun,apricot,red,33.148514851485146,32.654061351878994,25
MZ,48,NF,atypical,Kirsche,gelb,Socken,gelb,Avokado,gruen,Zucchini,gruen,cherry,yellow,1.386138613861386,3.9848972308698327,0
MZ,49,AF,atypical,Gurke,rot,Gurke,braun,Bueroklammer,gruen,Socken,gruen,cucumber,red,0.8316831683168316,3.4498385670367044,0
MZ,50,ANF,medium,Erbsen,gelb,Walnuss,braun,Waescheklammer,orange,Aubergine,gruen,peas,yellow,34.57425742574257,33.063377484659206,27
MZ,51,NF,medium,Aprikose,rot,Bueroklammer,rot,Zucchini,gruen,Avokado,gruen,apricot,red,33.148514851485146,32.654061351878994,25
MZ,52,AF,NA,Socken,gruen,Socken,orange,Zucchini,braun,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
MZ,53,AF,NA,Sonnenbrille,braun,Sonnenbrille,rot,Aubergine,gruen,Waescheklammer,gelb,suglasses,brown,52.039603960396036,24.20327283326749,57
MZ,54,NF,typical,Erdbeere,rot,Waescheklammer,rot,Bueroklammer,orange,Bueroklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
MZ,55,ANF,medium,Banane,braun,Tomate,gruen,Avokado,rot,Bueroklammer,orange,banana,brown,27.643564356435643,28.333225781197537,22
MZ,56,AF,NA,Sonnenbrille,gelb,Sonnenbrille,gruen,Avokado,rot,Bueroklammer,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
MZ,57,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Zucchini,gelb,Waescheklammer,gelb,beans,green,96.81188118811882,7.065002294815097,100
MZ,58,ANF,typical,Erdbeere,rot,Erbsen,gelb,Bueroklammer,gruen,Waescheklammer,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
