speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
HA,42,AF,NA,Trauben,orange,Trauben,gelb,Waescheklammer,rot,Waescheklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
HA,43,ANF,NA,Banane,braun,Zitrone,gelb,Aubergine,gruen,Waescheklammer,orange,banana,brown,27.643564356435643,28.333225781197537,22
HA,44,NF,typical,Bohnen,gruen,Bueroklammer,gruen,Socken,rot,Birne,orange,beans,green,96.81188118811882,7.065002294815097,100
HA,45,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,braun,Bueroklammer,rot,clothes.peg,orange,65.55445544554455,25.69999036868487,67
HA,46,ANF,NA,Kartoffeln,orange,Bohnen,gruen,Socken,braun,Bueroklammer,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
HA,47,NF,medium,Aprikose,rot,Bueroklammer,rot,Avokado,gelb,Waescheklammer,orange,apricot,red,33.148514851485146,32.654061351878994,25
HA,48,AF,NA,Kirsche,gelb,Kirsche,gruen,Bueroklammer,rot,Socken,braun,cherry,yellow,1.386138613861386,3.9848972308698327,0
HA,49,NF,medium,Banane,braun,Bueroklammer,braun,Zucchini,gruen,Socken,orange,banana,brown,27.643564356435643,28.333225781197537,22
HA,50,ANF,NA,Walnuss,braun,Kartoffeln,orange,Avokado,gelb,Aubergine,gruen,walnut,brown,97.45544554455445,11.250355329922026,100
HA,51,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Birne,orange,Socken,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
HA,52,AF,NA,Sonnenbrille,gelb,Sonnenbrille,rot,Waescheklammer,gruen,Socken,orange,suglasses,yellow,53.75247524752475,23.211379080353698,56
HA,53,NF,typical,Erdbeere,rot,Socken,rot,Bueroklammer,braun,Waescheklammer,gruen,strawberry,red,99.35643564356435,2.7150843759111485,100
HA,54,AF,NA,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,gelb,carrots,green,3.99009900990099,13.916533368267366,0
HA,55,NF,medium,Kartoffeln,orange,Bueroklammer,orange,Waescheklammer,rot,Sonnenbrille,rot,potatoes,orange,38.851485148514854,33.05370966733201,31
HA,56,AF,NA,Sonnenbrille,braun,Sonnenbrille,gruen,Avokado,gelb,Birne,rot,suglasses,brown,52.039603960396036,24.20327283326749,57
HA,57,NF,atypical,Kirsche,gelb,Socken,gelb,Aubergine,gruen,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
HA,58,ANF,NA,Zitrone,gelb,Banane,braun,Birne,rot,Waescheklammer,gruen,lemon,yellow,99.60396039603961,2.3794083631053837,100
HA,59,NF,typical,Walnuss,braun,Sonnenbrille,braun,Waescheklammer,gruen,Birne,rot,walnut,brown,97.45544554455445,11.250355329922026,100
HA,60,ANF,NA,Erdbeere,rot,Erbsen,gelb,Zucchini,gruen,Birne,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
HA,61,ANF,NA,Tomate,gruen,Walnuss,braun,Waescheklammer,orange,Avokado,gelb,tomato,green,25.99009900990099,28.510522636214493,18
HA,62,NF,atypical,Trauben,orange,Waescheklammer,orange,Sonnenbrille,rot,Zucchini,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
HA,63,ANF,NA,Erbsen,gelb,Tomate,gruen,Socken,orange,Bueroklammer,braun,peas,yellow,34.57425742574257,33.063377484659206,27
HA,64,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Birne,rot,Bueroklammer,braun,carrots,green,3.99009900990099,13.916533368267366,0
HA,65,AF,NA,Paprika,braun,Paprika,rot,Aubergine,gruen,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
HA,66,AF,NA,Socken,gruen,Socken,orange,Birne,rot,Bueroklammer,braun,socks,green,58.504950495049506,27.195817238088743,63
HA,67,NF,atypical,Paprika,braun,Waescheklammer,braun,Socken,orange,Bueroklammer,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
HA,68,NF,medium,Erbsen,gelb,Sonnenbrille,gelb,Bueroklammer,rot,Socken,braun,peas,yellow,34.57425742574257,33.063377484659206,27
HA,69,AF,NA,Gurke,rot,Gurke,braun,Socken,orange,Bueroklammer,gelb,cucumber,red,0.8316831683168316,3.4498385670367044,0
HA,70,AF,NA,Bueroklammer,rot,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen,paper.clip,red,58.82178217821782,28.540285926950332,62
