team,model_n,dv,mean,sd
anomalocaris_ornata,1,intensity,3827.747792833781,820.360959820959
anomalocaris_ornata,2,f0,5.570482360703762,2.907651678431555
anomalocaris_ornata,3,f0,15.915191271147297,2.2151811195260853
anomalocaris_ornata,4,duration,127.72910208333333,51.44377465216581
anthracoceros_coronata,1,f0,208.3053566200228,47.8623711819236
anthracoceros_coronata,2,f0,212.19606424912544,85.4234208080569
anthracoceros_coronata,3,intensity,70.0626319578913,3.523766351919252
anthracoceros_coronata,4,intensity,68.12004473078095,3.964487287522451
anthracoceros_coronata,5,duration,-0.9107714739000708,0.27413132636989923
anthracoceros_coronata,6,duration,-0.7011585877138896,0.23976259901677996
arapaima_modularis,1,f0,215.22010144927538,23.925960405546775
clione_dorsalis,1,duration,0.3731788888888889,0.12423740325708389
comanthina_maculatus,1,duration,101.74907840058835,41.24145074895249
comanthina_maculatus,2,intensity,67.42317206376885,4.234575925203375
comanthina_maculatus,3,f0,193.7374472798883,42.33130006942396
cromileptes_saxatilis,1,duration,0.4013309352517985,0.10431773283401123
gnathosaurus_canadensis,1,f0,1.5084444444444445,1.2478853223665136
gymnothorax_spinulosus,1,intensity,2.140475446878012,2.0883955063418047
haematopus_fossor,1,duration,1571.8186183679677,199.25226583681624
haematopus_fossor,2,duration,374.3645632076306,116.05475509895024
haematopus_fossor,3,duration,538.4044646122073,117.85263861720297
haematopus_fossor,4,duration,124.57295789086368,38.640643251867196
haematopus_fossor,5,duration,131.57659675336177,48.84674361796221
haematopus_fossor,6,intensity,66.77579490326706,3.5316813779272715
haematopus_fossor,7,intensity,66.36084127484176,3.8752950103544856
lasionycteris_altavela,1,intensity,72.25119109106876,3.409916755649033
naso_cassivellaunos,1,f0,-5.258425214899714,18.678179020444595
naso_cassivellaunos,2,f0,-1.7179243553008596,5.339447953202903
psittacula_scabriculus,1,duration,0.08787717990909091,0.03599347078661092
trapezia_cantonensis,1,duration,0.12764224137931035,0.032630203198809736
dermatolepis_aculeatus,1,f0,240.6523319467442,104.51907936391109
dermatolepis_aculeatus,2,f0,210.97138256116278,54.819129026708346
dermatolepis_aculeatus,3,f0,99.87263851302326,30.35956104803818
eriphia_laterispinis,1,f0,177.1403697339044,34.69437700632756
eriphia_laterispinis,2,intensity,56.129189940559215,3.2937207720434314
eriphia_laterispinis,3,duration,3.6568043873249314,0.5644520278103788
hoplostethus_macrosteus,1,duration,124.66662788481395,33.408859873942205
